kbli_kode,provinsi,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
70,Bali,325671.188653,19737.647796767607,1090,153,0.06363444366907088
35,Daerah Istimewa Yogyakarta,320419.69366700004,19419.375373150004,9,3,0.06260832906787696
10,Kepulauan Bangka Belitung,318189.46318,19284.209888963,197,14,0.06217255371765014
9,Sulawesi Utara,316425.170337,19177.283049758,575,3,0.06182782014143793
61,Sumatera Selatan,315910.56060100003,19146.094583797,3,14,0.06172726809569975
61,Kalimantan Timur,315354.8135,19112.412940462,31,12,0.061618678024410026
52,Kalimantan Selatan,313048.365426,18972.628207599002,208,14,0.06116801015708151
28,Jawa Tengah,312654.194659,18948.739068914,448,18,0.06109099125475736
30,Kepulauan Riau,311821.370872,18898.264903037,649,15,0.06092826185097033
10,Jambi,311671.486838,18889.181017221,501,21,0.06089897529615438
14,Banten,310667.595918,18828.339144781003,467,10,0.06070282027101122
10,Sulawesi Selatan,308735.075288,18711.216683161,734,27,0.06032521586677243
58,Daerah Khusus Ibukota Jakarta,308731.72862999997,18711.013854089,586,29,0.06032456194733651
47,Sulawesi Tengah,304542.31808600004,18457.110185612,125,14,0.059505973080536796
20,Riau,304047.209194,18427.103589056,61,8,0.05940923139752717
82,Daerah Khusus Ibukota Jakarta,302419.126541,18328.431906134,1199,36,0.0590911125786675
24,Gorontalo,300002.9369,18181.99617,67,1,0.05861900178421883
46,Kepulauan Riau,298973.15536900004,18119.585175959,839,27,0.058417787869359195
78,Daerah Khusus Ibukota Jakarta,297171.49932299997,18010.393898373,3823,39,0.05806575371907275
17,Jawa Tengah,296550.560342,17972.76123314,1493,32,0.057944425496051846
23,Jawa Tengah,291608.520622,17673.243671822,441,29,0.05697877683221585
52,Sumatera Utara,287742.683373,17438.950507773,1371,27,0.05622341249165886
12,Jawa Tengah,287043.410315,17396.570328604,652,18,0.056086778200481156
86,Daerah Istimewa Yogyakarta,285809.00363500003,17321.75779464,425,6,0.055845581603790884
55,Kepulauan Riau,281683.23063099995,17071.710946532,935,13,0.05503942717883144
77,Jawa Barat,280934.22595,17026.316722491607,313,23,0.054893075589124964
55,Jawa Timur,277353.20345699997,16809.285056644,826,28,0.05419336255939397
35,Aceh,271905.63902,16479.129635398,67,24,0.05312893701492475
38,Sulawesi Tengah,270435.6085,16390.03688,0,1,0.05284170075462286
50,Riau,270064.800166,16367.563640380999,69,4,0.05276924674928226
86,Bali,269667.726439,16343.498570695,643,23,0.05269166062378631
68,Sulawesi Selatan,268800.798816,16290.957502824,314,22,0.05252226750915702
33,Kalimantan Selatan,265854.32393899997,16112.383266593,25,10,0.05194654175841347
93,Bali,265834.841221,16111.202498061,726,99,0.05194273493741031
35,Kalimantan Utara,263833.722122,15989.922556436002,19,9,0.051551726751801065
49,Jawa Tengah,262413.722099,15903.861940896,422,34,0.0512742661884414
52,Daerah Istimewa Yogyakarta,261392.873551,15841.992341871,19,8,0.051074797731648997
33,Daerah Khusus Ibukota Jakarta,259360.90093,15718.842481074,1273,46,0.05067776092952068
61,Sulawesi Selatan,254729.17088499997,15438.131570044,6,14,0.04977274515008389
6,Jawa Timur,247914.309317,15025.109657199999,28,5,0.04844115691117624
36,Jawa Barat,246402.388193,14933.478072308,203,16,0.04814573544636939
10,Sumatera Selatan,245438.80882600002,14875.07932309,872,28,0.047957457087440404
